step,grand_mean_re,smoothed_re,derivative
588,0.90099624,0.90871641,-0.0000233891
589,0.90890377,0.90861393,-0.0001022971
590,0.90936403,0.90851182,-0.0000572151
591,0.91092267,0.90849950,-0.0000844265
592,0.90438630,0.90834296,-0.0001776186
593,0.90887427,0.90814427,-0.0000717104
594,0.90644507,0.90819954,0.0000650397
595,0.90828944,0.90827434,0.0000566225
596,0.91821136,0.90831279,0.0000290296
597,0.91515076,0.90833240,0.0001086621
598,0.91509725,0.90853011,0.0001977064
